symbol,type,entry_time,exit_time,entry_price,exit_price,gross_pnl,fees,net_pnl,result,bars_held,position_size,leverage
EDENUSDT,LONG,2025-12-16 18:19:00+00:00,2025-12-16 18:50:00+00:00,0.06924,0.0706248,20.000000000000078,1.2,18.80000000000008,WIN,31,100.0,10
EDENUSDT,LONG,2025-12-16 18:20:00+00:00,2025-12-16 18:51:00+00:00,0.06934,0.0707268,20.000000000000107,1.2,18.800000000000107,WIN,31,100.0,10
EDENUSDT,LONG,2025-12-16 18:48:00+00:00,2025-12-16 19:49:00+00:00,0.0705,0.069795,-9.999999999999963,1.2,-11.199999999999962,LOSS,61,100.0,10
EDENUSDT,LONG,2025-12-16 18:49:00+00:00,2025-12-16 19:49:00+00:00,0.07051,0.0698049,-10.000000000000002,1.2,-11.200000000000001,LOSS,60,100.0,10
EDENUSDT,LONG,2025-12-16 18:50:00+00:00,2025-12-16 19:18:00+00:00,0.07067,0.06996329999999999,-10.000000000000064,1.2,-11.200000000000063,LOSS,28,100.0,10
EDENUSDT,LONG,2025-12-16 19:04:00+00:00,2025-12-16 19:07:00+00:00,0.07126,0.07054740000000001,-9.999999999999911,1.2,-11.19999999999991,LOSS,3,100.0,10
EDENUSDT,LONG,2025-12-16 19:05:00+00:00,2025-12-16 19:13:00+00:00,0.07095,0.0702405,-10.000000000000027,1.2,-11.200000000000026,LOSS,8,100.0,10
EDENUSDT,LONG,2025-12-16 19:06:00+00:00,2025-12-16 19:18:00+00:00,0.07076,0.0700524,-10.000000000000036,1.2,-11.200000000000035,LOSS,12,100.0,10
EDENUSDT,LONG,2025-12-16 19:07:00+00:00,2025-12-16 19:18:00+00:00,0.07062,0.0699138,-10.000000000000057,1.2,-11.200000000000056,LOSS,11,100.0,10
EDENUSDT,LONG,2025-12-16 19:47:00+00:00,2025-12-16 19:49:00+00:00,0.0705,0.069795,-9.999999999999963,1.2,-11.199999999999962,LOSS,2,100.0,10
EDENUSDT,LONG,2025-12-16 20:32:00+00:00,2025-12-16 21:04:00+00:00,0.07061,0.07202220000000001,20.000000000000032,1.2,18.800000000000033,WIN,32,100.0,10
